INFO 2020-12-03 21:26:56,423 basehttp 154 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2020-12-03 21:26:56,459 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2020-12-03 21:26:56,464 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2020-12-03 21:26:56,492 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2020-12-03 21:26:56,546 basehttp 154 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2020-12-03 21:26:56,547 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2020-12-03 21:26:56,576 basehttp 154 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2020-12-03 21:26:56,583 basehttp 154 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2020-12-03 21:26:56,690 basehttp 154 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
INFO 2020-12-03 21:27:06,994 basehttp 154 "POST /admin/ HTTP/1.1" 302 0
INFO 2020-12-03 21:27:07,092 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:27:07,126 basehttp 154 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2020-12-03 21:27:07,136 basehttp 154 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2020-12-03 21:27:07,154 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:27:07,156 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2020-12-03 21:27:21,602 basehttp 154 "GET /admin/auth/group/ HTTP/1.1" 200 18306
INFO 2020-12-03 21:27:21,631 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 200 2319
INFO 2020-12-03 21:27:21,635 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 200 529
INFO 2020-12-03 21:27:21,644 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:27:21,650 basehttp 154 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 200 3763
INFO 2020-12-03 21:27:21,673 basehttp 154 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2020-12-03 21:27:21,684 basehttp 154 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2020-12-03 21:27:21,708 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2020-12-03 21:27:24,169 basehttp 154 "GET /admin/auth/user/ HTTP/1.1" 200 30542
INFO 2020-12-03 21:27:24,202 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-12-03 21:27:24,209 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:27:38,235 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
INFO 2020-12-03 21:27:38,316 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 200 10602
INFO 2020-12-03 21:27:38,317 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 200 10225
INFO 2020-12-03 21:27:38,338 basehttp 154 "GET /static/xadmin/js/xadmin.widget.datetime.js HTTP/1.1" 200 2979
WARNING 2020-12-03 21:27:38,345 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:27:38,346 basehttp 154 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
INFO 2020-12-03 21:27:38,367 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 200 32656
INFO 2020-12-03 21:27:38,377 basehttp 154 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2020-12-03 21:27:38,380 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:27:38,390 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2020-12-03 21:27:38,415 basehttp 154 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2020-12-03 21:27:38,422 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
WARNING 2020-12-03 21:27:38,520 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:27:40,085 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:27:40,127 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:27:41,935 basehttp 154 "GET /admin/auth/permission/ HTTP/1.1" 200 84021
INFO 2020-12-03 21:27:41,981 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:27:48,360 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:27:48,397 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:27:48,407 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:27:48,482 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:27:52,083 basehttp 154 "GET /admin/auth/user/ HTTP/1.1" 200 30542
INFO 2020-12-03 21:27:52,115 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:28:01,146 basehttp 154 "GET /admin/auth/user/?_cols=id.username.email.first_name.last_name.is_staff HTTP/1.1" 200 34043
INFO 2020-12-03 21:28:01,179 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:28:03,975 basehttp 154 "GET /admin/auth/user/?_cols=id.username.email.first_name.last_name.is_staff.password HTTP/1.1" 200 35462
INFO 2020-12-03 21:28:04,008 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:28:09,849 basehttp 154 "GET /admin/auth/user/?_cols=id.username.email.first_name.last_name.is_staff.password.is_active HTTP/1.1" 200 36919
INFO 2020-12-03 21:28:09,890 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:28:19,586 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:28:19,623 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:28:19,635 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:28:19,675 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:28:28,719 basehttp 154 "GET /admin/xadmin/log/add/ HTTP/1.1" 200 15076
INFO 2020-12-03 21:28:28,753 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.quick-form.js HTTP/1.1" 200 7546
INFO 2020-12-03 21:28:28,765 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:28:28,785 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:28:35,845 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:28:35,881 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:33:55,092 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:33:55,148 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:16,645 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:34:16,696 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:43,025 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:34:43,059 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:45,433 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:34:45,459 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:47,339 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:34:47,383 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
